channel_username,channel_title,channel_id,date,unique_posters,total_messages,est_percentage_of_questions,posters_pie_chart
litecoincashofficial,"Litecoin Cash (LCC, EN) | OFFICIAL",82,2018-11-07,8,58,0.1207,"{""550697025"": 0.4828, ""663246243"": 0.0517, ""382167142"": 0.0172, ""723028333"": 0.0172, ""531309966"": 0.069, ""325462101"": 0.1207, ""612063420"": 0.0345, ""476252575"": 0.2069}"
Myriadcoinofficial,Myriadcoin Official,83,2018-11-07,4,15,0.0,"{""389340481"": 0.1333, ""393238697"": 0.3333, ""393416554"": 0.3333, ""336521287"": 0.2}"
experty_io,Experty.io,84,2018-11-07,1,1,0.0,"{""774344109"": 1.0}"
InsurePal,VouchForMe Official Group,85,2018-11-07,3,4,0.25,"{""518341290"": 0.5, ""774344109"": 0.25, ""702557375"": 0.25}"
mobius_network,Mobius,86,2018-11-07,1,13,0.0,"{""657635448"": 1.0}"
sureremit,SureRemit Circle,87,2018-11-07,8,15,0.0667,"{""543986561"": 0.0667, ""491673189"": 0.0667, ""531460970"": 0.2, ""596249164"": 0.0667, ""542875472"": 0.1333, ""668411538"": 0.0667, ""524864757"": 0.0667, ""524092822"": 0.3333}"
tatatuofficial,TaTaTu Community,88,2018-11-07,1,1,1.0,"{""408956733"": 1.0}"
StrongHands,StrongHands (SHND),89,2018-11-07,6,11,0.1818,"{""492537159"": 0.0909, ""542157649"": 0.1818, ""496104690"": 0.3636, ""256221109"": 0.1818, ""407203095"": 0.0909, ""252467674"": 0.0909}"
Nimiq,Nimiq,90,2018-11-07,6,8,0.125,"{""321241024"": 0.125, ""509580505"": 0.25, ""381669896"": 0.125, ""536111312"": 0.125, ""289941813"": 0.125, ""242502585"": 0.25}"
xinfintalk,XinFin Hybrid Blockchain | XDC:XDCE,91,2018-11-07,5,5,0.0,"{""623461995"": 0.2, ""569319691"": 0.2, ""774344109"": 0.2, ""445034513"": 0.2, ""501173883"": 0.2}"
RadiumOfficial,Radium Official,92,2018-11-07,1,2,0.0,"{""664611630"": 1.0}"
Jet8_ecosystem,JET8 Global Community,93,2018-11-07,1,1,0.0,"{""774344109"": 1.0}"
agrello,Agrello,96,2018-11-07,6,7,0.0,"{""214004969"": 0.2857, ""774344109"": 0.1429, ""431558959"": 0.1429, ""558210644"": 0.1429, ""428216349"": 0.1429, ""796300095"": 0.1429}"
mysterium_network,Mysterium Network,97,2018-11-07,1,3,0.0,"{""571756479"": 1.0}"
